word,dateCreated,dateModified,guid,id,morph_type,cv_pattern,pron_number,pron
tëkëmaɨ,2013-07-30T10:23:11Z,2018-02-04T12:01:08Z,b1ab2fd6-132a-4d2d-a97f-c441d18556d4,tëkëmaɨ2_b1ab2fd6-132a-4d2d-a97f-c441d18556d4,stem,təkəmaɨ,1,təkəmaɨ
tëkëo,2013-07-30T10:23:11Z,2018-02-04T12:01:08Z,b398920e-ff9b-4fcb-93fd-142fe6601fd3,tëkëo_b398920e-ff9b-4fcb-93fd-142fe6601fd3,stem,təkəo,1,təkəo
tëkëotima thë,2013-07-28T19:34:18Z,2018-02-04T12:01:08Z,ac29c532-d0a2-4ddf-adca-feab2abc6117,tëkëotima thë_ac29c532-d0a2-4ddf-adca-feab2abc6117,discontiguous phrase,təkəotima tʰə,1,təkəotima tʰə
tëkëotima thë,2013-07-28T19:34:18Z,2018-02-04T12:01:08Z,ac29c532-d0a2-4ddf-adca-feab2abc6117,tëkëotima thë_ac29c532-d0a2-4ddf-adca-feab2abc6117,discontiguous phrase,,2,təkəotima tʰə
tëkëotima tihi,2013-07-28T19:34:19Z,2018-02-04T12:01:08Z,8cd732e7-4cc2-4328-9a3a-e60e0d78c345,tëkëotima tihi_8cd732e7-4cc2-4328-9a3a-e60e0d78c345,discontiguous phrase,təkəotima tihi,1,təkəotima tihi
tëkëotima tihikɨ,2013-07-28T19:34:19Z,2018-02-04T12:01:08Z,8bc98b7e-3f32-403e-bac5-1e45468ff890,tëkëotima tihikɨ_8bc98b7e-3f32-403e-bac5-1e45468ff890,discontiguous phrase,təkəotima tihikɨ,1,təkəotima tihikɨ
tẽkẽtẽkema,2013-07-28T19:33:51Z,2018-02-04T12:01:08Z,9a348434-6100-4d2c-ad2a-08397178df03,tẽkẽtẽkema_9a348434-6100-4d2c-ad2a-08397178df03,stem,tẽkẽtẽkema,1,tẽkẽtẽkema
tërëkë,2013-06-11T16:18:24Z,2019-04-15T13:04:51Z,11d0cb8a-4226-49e3-996e-6963689f4735,tërëkë_11d0cb8a-4226-49e3-996e-6963689f4735,root,təɾəkə,1,təɾəkə
tërëkëi,2013-07-30T10:23:11Z,2018-02-04T12:01:08Z,4bde2e8b-9a54-487e-8456-e59ffc49fd1f,tërëkëi_4bde2e8b-9a54-487e-8456-e59ffc49fd1f,stem,təɾəkəi,1,təɾəkəi
tëtëkë,2013-06-11T16:18:24Z,2018-02-04T12:01:08Z,262d739f-3b09-4368-b89a-b05f6fbd3c62,tëtëkë_262d739f-3b09-4368-b89a-b05f6fbd3c62,root,tətəkə,1,tətəkə
thãa rukëɨ,2013-07-30T10:23:12Z,2018-02-04T12:01:08Z,f803528c-f306-4322-8c05-46ca8312eba7,thãa rukëɨ_f803528c-f306-4322-8c05-46ca8312eba7,discontiguous phrase,tʰãa ɾukəɨ,1,tʰãa ɾukəɨ
thãa rukëɨ,2013-07-30T10:23:12Z,2018-02-04T12:01:08Z,f803528c-f306-4322-8c05-46ca8312eba7,thãa rukëɨ_f803528c-f306-4322-8c05-46ca8312eba7,discontiguous phrase,,2,tʰãa ɾukəɨ
thããhã haimaɨ yakëhuu pëtuu,2013-07-30T10:23:13Z,2018-02-04T12:01:08Z,b914db4f-2db3-4871-86a1-3c174dafe3d6,thããhã haimaɨ yakëhuu pëtuu_b914db4f-2db3-4871-86a1-3c174dafe3d6,discontiguous phrase,tʰããhã hajmaɨ jakəhuu pətuu,1,tʰããhã haimaɨ jakəhuu pətuu
thããhã haimaɨ yakëhuu pëtuu,2013-07-30T10:23:13Z,2018-02-04T12:01:08Z,b914db4f-2db3-4871-86a1-3c174dafe3d6,thããhã haimaɨ yakëhuu pëtuu_b914db4f-2db3-4871-86a1-3c174dafe3d6,discontiguous phrase,,2,tʰããhã haimaɨ jakəhuu pətuu
thothoma pëkëkëma,2013-07-28T19:35:09Z,2018-02-04T12:01:08Z,a586b841-0207-4649-8d9f-5acb041e95a4,thothoma pëkëkëma_a586b841-0207-4649-8d9f-5acb041e95a4,discontiguous phrase,tʰotʰoma pəkəkəma,1,tʰotʰoma pəkəkəma
thothoma pëkëkëma,2013-07-28T19:35:09Z,2018-02-04T12:01:08Z,a586b841-0207-4649-8d9f-5acb041e95a4,thothoma pëkëkëma_a586b841-0207-4649-8d9f-5acb041e95a4,discontiguous phrase,,2,tʰotʰoma pəkəkəma
tɨhɨ si ẽkẽkema,2013-07-28T19:36:47Z,2018-02-04T12:01:08Z,24fbe3d0-7169-47fb-8eca-af7141ae7b98,tɨhɨ si ẽkẽkema_24fbe3d0-7169-47fb-8eca-af7141ae7b98,discontiguous phrase,tɨhɨ si ẽkẽkema,1,tɨhɨ si ẽkẽkema
tɨhɨ wakërima,2013-07-28T19:36:51Z,2018-02-04T14:32:24Z,3b78bd17-bc45-4e51-99f9-af3a5ea8177c,tɨhɨ wakërima2_3b78bd17-bc45-4e51-99f9-af3a5ea8177c,discontiguous phrase,tɨhɨ wakəɾima,1,tɨhɨ wakəɾima
tɨhɨ wakërima,2013-07-28T19:36:51Z,2018-02-04T14:32:24Z,3b78bd17-bc45-4e51-99f9-af3a5ea8177c,tɨhɨ wakërima2_3b78bd17-bc45-4e51-99f9-af3a5ea8177c,discontiguous phrase,tɨhɨ wakəɾima,2,tɨhɨ wakəɾima
totihi taaɨ piyëkëkuu,2013-07-30T10:23:23Z,2018-02-04T12:01:08Z,9873337e-5faa-40ff-b57b-d6d5171b0b62,totihi taaɨ piyëkëkuu_9873337e-5faa-40ff-b57b-d6d5171b0b62,discontiguous phrase,totihi taaɨ pijəkəkuu,1,totihi taaɨ pijəkəkuu
urihi a wakë ë̃rãmaɨ wehi thë,2013-07-28T19:38:47Z,2018-02-04T12:01:08Z,5b9c17ec-7996-41e4-af16-5b009cccf4a1,urihi a wakë ë̃rãmaɨ wehi thë_5b9c17ec-7996-41e4-af16-5b009cccf4a1,discontiguous phrase,uɾihi a wakə ə̃ɾãmaɨ wehi tʰə,1,uɾihi a wakə ə̃ɾãmaɨ wehi tʰə
urihi a wakë ë̃rãmaɨ wehi thë,2013-07-28T19:38:47Z,2018-02-04T12:01:08Z,5b9c17ec-7996-41e4-af16-5b009cccf4a1,urihi a wakë ë̃rãmaɨ wehi thë_5b9c17ec-7996-41e4-af16-5b009cccf4a1,discontiguous phrase,,2,uɾihi a wakə ə̃ɾãmaɨ wehi tʰə
